COMID,CatAreaSqKm,WsAreaSqKm,CatPctFull,WsPctFull,BFICat,BFIWs
22106719,0.1215,1.3293,100.0,100.0,50.0,50.0
22106165,1.2582,1.2582,100.0,100.0,52.0,52.0
22104741,3.1734,31.7178,100.0,100.0,50.0,50.3899
22105449,2.133,2.133,100.0,100.0,52.0084,52.0084
22105061,7.5564,22.0617,100.0,100.0,49.5177,50.0397
22108625,0.0612,4.0644,100.0,100.0,50.0,50.0
22105619,1.7442,1.7442,100.0,100.0,52.193,52.193
22108677,0.9486,8.5212,100.0,100.0,50.0,50.0
22115455,0.0099,1.0782,100.0,100.0,51.7273,51.697
22107607,0.036,28850.4261,100.0,100.0,49.0,54.6571
22105437,0.9324,0.9324,100.0,100.0,51.9566,51.9566
22104929,0.1197,7.8804,100.0,100.0,49.0,49.6926
22106715,1.2411,1.2411,100.0,100.0,51.14,51.14
22104935,0.5841,8.0712,100.0,100.0,49.0,49.6762
22105691,1.1853,1.1853,100.0,100.0,52.0,52.0
22106369,2.9475,2.9475,100.0,100.0,52.0308,52.0308
22105493,3.5181,18.7839,100.0,100.0,52.0253,53.6063
22108863,2.3814,7.7472,100.0,100.0,50.0,50.0
22108727,10.1934,10.1934,100.0,100.0,50.0,50.0
22104891,0.4905,9.3168,100.0,100.0,49.0,49.5858
22105139,0.3195,1.0269,100.0,100.0,51.0,51.0
22105795,0.4959,3.8493,100.0,100.0,52.0,51.3612
22105055,0.6408,5.1417,100.0,100.0,49.0,49.0401
22108615,4.3155,8.3799,100.0,100.0,50.0,50.0
22108803,1.6551,8.8326,100.0,100.0,50.0,50.0
22105587,0.3834,5.2056,100.0,100.0,53.0,53.3122
22108399,0.207,32424.0228,100.0,100.0,50.0,54.3166
22106975,1.071,1.071,100.0,100.0,50.0,50.0
22109031,4.7862,4.7862,100.0,100.0,50.0,50.0
22104937,0.0045,7.4916,100.0,100.0,49.0,49.7285
22108839,3.3534,3.3534,100.0,100.0,51.2668,51.2668
22106297,3.5253,12.4389,100.0,100.0,51.9962,51.4905
22106163,3.1383,3.1383,100.0,100.0,52.0,52.0
22107391,0.0009,32364.882,100.0,100.0,50.0,54.3241
22107495,0.0099,29747.4858,100.0,100.0,49.0,54.4978
22108637,3.4245,7.6815,100.0,100.0,49.8221,49.9207
