"","x_HBI_RFadj_std","nt_habit_climbcling_RFadj_std","nt_volt_semi_RFadj_std","pt_BCG_att1i234b_RFadj_std","nt_EPT_RFadj_std","index"
"KS_Clint_0477_Rep1",57.0102065119629,45.2818686047622,22.8731157169527,38.5560095724932,24.7498248508717,37.6942050514085
"KS_Clint_0474_Rep1",13.7921338829523,56.1488824362974,62.5642831532605,35.427590429909,39.383694576505,41.4633168957848
"KS_Clint_0480_Rep1",57.4556812029099,28.9813478574594,49.3338940078246,74.6008384779768,39.383694576505,49.9510912245351
"KS_Liz_3039_Rep1",31.0830457216239,12.6808271101565,22.8731157169527,45.6660529691562,17.4328899880551,25.9471863011889
"KS_Clint_0473_Rep1",11.7812842571486,34.414854773227,75.7946722986965,0,10.1159551252385,26.4213532908621
"KS_Liz_3036_Rep1",85.5561622701088,18.1143340259242,62.5642831532605,100,39.383694576505,61.1236948051597
"KS_Clint_0475_Rep1",46.0631750036782,39.8483616889946,36.1035048623886,35.427590429909,61.3344991649548,43.755426229985
"KS_Clint_0476_Rep1",41.4221710909812,77.8829100993679,100,85.4822963358463,83.2853037534047,77.61453625592
"KS_Liz_3035_Rep1",95.1160078765936,0,36.1035048623886,100,17.4328899880551,49.7304805454075
"KS_Liz_3040_Rep1",71.2107074200739,83.3164170151355,49.3338940078246,49.4259403822001,75.968368890588,65.8510655431644
"KS_Clint_0479_Rep1",88.2538313188933,12.6808271101565,49.3338940078246,100,24.7498248508717,55.0036754575492
"KS_Liz_3038_Rep1",0,7.24732019438893,36.1035048623886,24.701582023639,0,13.6104814160833
"KS_Liz_3037_Rep1",41.2938832426187,45.2818686047622,75.7946722986965,65.1111950645012,46.7006294393216,54.83644972998
"KS_Clint_0472_Rep1",33.3051889846361,12.6808271101565,9.64272657151671,33.5963207027418,2.79902026242186,18.4048167262946
"KS_Clint_0478_Rep1",20.9481517377417,34.414854773227,100,100,61.3344991649548,63.3395011351847
"KS_Clint_0443_Rep1",38.8476462324388,73.4997000704182,39.3273096841599,23.6383952872743,45.5789433248517,44.1783989198286
"KS_Clint_0440_Rep1",71.7158578893805,73.4997000704182,92.2488662659037,80.2799938194756,74.8466827761182,78.5182201642592
"KS_Clint_0437_Rep1",82.4101860303197,62.632686238883,39.3273096841599,51.2848898097484,74.8466827761182,62.1003509078458
"KS_Clint_0434_Rep1",65.5565873492702,73.4997000704182,79.0184771204677,95.9765915238131,74.8466827761182,77.7796077680175
"KS_Clint_0435_Rep1",30.8102959432626,19.1646309127421,39.3273096841599,12.1796508427902,16.3112038735852,23.558618251308
"KS_Clint_0441_Rep1",47.7212257035362,78.9332069861858,79.0184771204677,18.7493309896597,89.4805525017514,62.7805586603202
"KS_Clint_0450_Rep1",44.7210945557482,40.8986585758126,65.7880879750317,47.9918170561378,38.2620084620351,47.5323333249531
"KS_Clint_0451_Rep1",36.9509288397876,51.7656724073478,100,24.4698688053359,30.9450735992185,48.8263087303379
"KS_Clint_0439_Rep1",100,8.29761708120689,26.0969205387239,100,23.6281387364018,51.6045352712665
"KS_Clint_0436_Rep1",50.3429868854486,51.7656724073478,92.2488662659037,74.0370288217258,45.5789433248517,62.7946995410555
"KS_Clint_0454_Rep1",0,30.0316447442773,65.7880879750317,9.57263491316134,16.3112038735852,24.3407143012111
"KS_Clint_0442_Rep1",51.5070871156104,51.7656724073478,65.7880879750317,48.7821545182057,82.1636176389348,60.0013239310261
"KS_Clint_0456_Rep1",9.04604262933432,19.1646309127421,79.0184771204677,53.0725578762087,8.9942690107686,33.8591955099043
"KS_Clint_0453_Rep1",62.5541454992691,84.3667139019534,65.7880879750317,32.8824244135328,89.4805525017514,67.0143848583077
"KS_Clint_0458_Rep1",66.578503950198,57.1991793231154,79.0184771204677,60.2232301495581,82.1636176389348,69.0366016364548
"KS_Clint_0459_Rep1",44.311452387619,68.0661931546506,65.7880879750317,20.0006986391852,96.797487364568,58.9927839042109
"KS_Clint_0460_Rep1",42.7845301997506,8.29761708120689,39.3273096841599,82.5690809878199,38.2620084620351,42.2481092829945
"KS_Clint_0461_Rep1",72.7306220942934,73.4997000704182,65.7880879750317,72.1410172542879,67.5297479133015,70.3378350614666
"KS_Clint_0462_Rep1",37.7080219411067,46.3321654915802,26.0969205387239,74.5245746962568,45.5789433248517,46.0481251985039
"KS_Clint_0463_Rep1",21.3349387768268,46.3321654915802,12.866531393288,58.5602831059267,82.1636176389348,44.2515072813113
"KS_Clint_0464_Rep1",26.0824428587974,57.1991793231154,26.0969205387239,37.6830675587395,52.8958781876683,39.9914976934089
"KS_Clint_0465_Rep1",43.6774824713366,46.3321654915802,39.3273096841599,27.2201273679658,52.8958781876683,41.8905926405422
"KS_Clint_0466_Rep1",71.5052766313165,84.3667139019534,39.3273096841599,65.7237473048508,82.1636176389348,68.6173330322431
"KS_Clint_0467_Rep1",36.153988775122,84.3667139019534,52.5576988295958,21.3608808620336,74.8466827761182,53.8571930289646
"KS_Clint_0455_Rep1",49.8106435351578,84.3667139019534,100,59.5486384235322,89.4805525017514,76.641309672479
"KS_Clint_0446_Rep1",57.0980323778676,57.1991793231154,92.2488662659037,56.972924572128,23.6281387364018,57.4294282550833
"KS_Clint_0447_Rep1",51.4448530307978,78.9332069861858,79.0184771204677,54.0052542629535,82.1636176389348,69.1130818078679
"KS_Clint_0444_Rep1",71.7506450348358,78.9332069861858,52.5576988295958,50.0079840490637,82.1636176389348,67.0826305077232
"KS_Clint_0445_Rep1",30.8702761931143,46.3321654915802,100,50.0079840490637,38.2620084620351,53.0944868391586
"KS_Clint_0457_Rep1",32.6753745165257,46.3321654915802,65.7880879750317,85.5965833862911,52.8958781876683,56.6576179114194
"KS_Clint_0438_Rep1",26.3117790277861,51.7656724073478,26.0969205387239,26.2575368717962,30.9450735992185,32.2753964889745
"KS_Clint_0448_Rep1",34.8589612127765,78.9332069861858,92.2488662659037,37.6830675587395,67.5297479133015,62.2507699873814
"KS_Clint_0449_Rep1",58.2708081119096,62.632686238883,26.0969205387239,54.0052542629535,89.4805525017514,58.0972443308443
"KS_Clint_0452_Rep1",52.7996992442704,73.4997000704182,65.7880879750317,52.6161319908934,74.8466827761182,63.9100604113464
"KS_Clint_0529_Rep1",53.7501608651139,43.2703843445451,51.9420447213615,78.5057381829004,74.2432795477646,60.3423215323371
"KS_Clint_0533_Rep1",83.4911395329051,48.7038912603127,51.9420447213615,48.7797634285792,66.926344684948,59.9686367256213
"KS_Clint_0528_Rep1",67.8951082799705,54.1373981760803,38.7116555759256,46.3525416999581,66.926344684948,54.8046096833765
"KS_Liz_3105_Rep1",39.8365338190997,43.2703843445451,78.4028230122334,91.1458154292959,44.9755400964981,59.5262193403344
"KS_Clint_0530_Rep1",28.1335417681166,32.4033705130099,25.4812664304896,49.7044193226941,37.6586052336815,34.6762406535983
"KS_Liz_3104_Rep1",71.3304245649414,48.7038912603127,65.1724338667975,44.9723567982452,66.926344684948,59.421090235049
"KS_Clint_0532_Rep1",75.9168605314711,70.4379189233832,38.7116555759256,44.9723567982452,59.6094098221314,57.9296403302313
"KS_Liz_3106_Rep1",55.0626936263865,48.7038912603127,38.7116555759256,47.1094172958218,52.2924749593148,48.3760265435523
"KS_Clint_0535_Rep1",37.2315489324175,32.4033705130099,51.9420447213615,52.9222218468275,52.2924749593148,45.3583321945862
"KS_Clint_0531_Rep1",33.5400748509492,32.4033705130099,51.9420447213615,72.9441042016942,52.2924749593148,48.6244138492659
"KS_Liz_3107_Rep2",31.5523581167478,26.9698635972423,65.1724338667975,22.8893983182815,37.6586052336815,36.8485318265501
"KS_Liz_3108_Rep1",58.1833365101474,70.4379189233832,65.1724338667975,64.6016532223768,52.2924749593148,62.1375634964039
"KS_Liz_3107_Rep1",28.4524664237828,16.102849765707,38.7116555759256,62.4062713841337,37.6586052336815,36.6663696766461
"KS_Clint_0534_Rep1",94.1010043055298,37.8368774287775,25.4812664304896,22.8893983182815,59.6094098221314,47.983591261042
"KS_Liz_3515_Rep1",55.8006189551921,0,20.469154009227,0,0,15.2539545928838
"KS_Liz_3515_Rep2",63.3714169742281,0,33.6995431546629,23.8255623675128,0,24.1793044992808
