"","SAMPLEID","StationID","RefSamp","Reference","nt_habit_climbcling","nt_volt_semi","pt_BCG_att1i234b","nt_EPT","x_HBI"
"KS_Clint_0477_Rep1","KS_Clint_0477_Rep1","KS_MMI_Site001","No","Ref",29,6,10.41666667,13,4.940140845
"KS_Clint_0474_Rep1","KS_Clint_0474_Rep1","KS_MMI_Site001","No","Ref",31,9,10,15,5.319371728
"KS_Clint_0480_Rep1","KS_Clint_0480_Rep1","KS_MMI_Site001","No","Ref",26,8,15.2173913,15,4.936231884
"KS_Liz_3039_Rep1","KS_Liz_3039_Rep1","KS_MMI_Site001","No","Ref",23,6,11.36363636,12,5.167647059
"KS_Clint_0473_Rep1","KS_Clint_0473_Rep1","KS_MMI_Site001","No","Ref",27,10,4.615384615,11,5.337016575
"KS_Liz_3036_Rep1","KS_Liz_3036_Rep1","KS_MMI_Site001","No","Ref",24,9,19.51219512,15,4.689655172
"KS_Clint_0475_Rep1","KS_Clint_0475_Rep1","KS_MMI_Site001","No","Ref",28,7,10,18,5.036199095
"KS_Clint_0476_Rep1","KS_Clint_0476_Rep1","KS_MMI_Site001","No","Ref",35,12,16.66666667,21,5.076923077
"KS_Liz_3035_Rep1","KS_Liz_3035_Rep1","KS_MMI_Site001","No","Ref",20,7,21.05263158,12,4.605769231
"KS_Liz_3040_Rep1","KS_Liz_3040_Rep1","KS_MMI_Site001","Ref","Ref",36,8,11.86440678,20,4.815533981
"KS_Clint_0479_Rep1","KS_Clint_0479_Rep1","KS_MMI_Site001","No","Ref",23,8,22.22222222,13,4.665983607
"KS_Liz_3038_Rep1","KS_Liz_3038_Rep1","KS_MMI_Site001","No","Ref",22,7,8.571428571,3,5.497737557
"KS_Liz_3037_Rep1","KS_Liz_3037_Rep1","KS_MMI_Site001","No","Ref",29,10,13.95348837,16,5.07804878
"KS_Clint_0472_Rep1","KS_Clint_0472_Rep1","KS_MMI_Site001","No","Ref",23,5,9.756097561,10,5.148148148
"KS_Clint_0478_Rep1","KS_Clint_0478_Rep1","KS_MMI_Site001","No","Ref",27,13,18.75,18,5.256578947
"KS_Clint_0443_Rep1","KS_Clint_0443_Rep1","KS_MMI_Site002","No","Strs",25,4,4.651162791,14,5.34
"KS_Clint_0440_Rep1","KS_Clint_0440_Rep1","KS_MMI_Site002","No","Strs",25,8,12.19512195,18,5.051587302
"KS_Clint_0437_Rep1","KS_Clint_0437_Rep1","KS_MMI_Site002","No","Strs",23,4,8.333333333,18,4.957746479
"KS_Clint_0434_Rep1","KS_Clint_0434_Rep1","KS_MMI_Site002","No","Strs",25,7,14.28571429,18,5.105633803
"KS_Clint_0435_Rep1","KS_Clint_0435_Rep1","KS_MMI_Site002","No","Strs",15,4,3.125,10,5.410526316
"KS_Clint_0441_Rep1","KS_Clint_0441_Rep1","KS_MMI_Site002","No","Strs",26,7,4,20,5.262135922
"KS_Clint_0450_Rep1","KS_Clint_0450_Rep1","KS_MMI_Site002","No","Strs",19,6,7.894736842,13,5.288461538
"KS_Clint_0451_Rep1","KS_Clint_0451_Rep1","KS_MMI_Site002","No","Strs",21,9,4.761904762,12,5.356643357
"KS_Clint_0439_Rep1","KS_Clint_0439_Rep1","KS_MMI_Site002","No","Strs",13,3,15.38461538,11,4.580357143
"KS_Clint_0436_Rep1","KS_Clint_0436_Rep1","KS_MMI_Site002","No","Strs",21,8,11.36363636,14,5.239130435
"KS_Clint_0454_Rep1","KS_Clint_0454_Rep1","KS_MMI_Site002","No","Strs",17,6,2.777777778,10,5.728571429
"KS_Clint_0442_Rep1","KS_Clint_0442_Rep1","KS_MMI_Site002","No","Strs",21,6,8,19,5.228915663
"KS_Clint_0456_Rep1","KS_Clint_0456_Rep1","KS_MMI_Site002","No","Strs",15,7,8.571428571,9,5.601503759
"KS_Clint_0453_Rep1","KS_Clint_0453_Rep1","KS_MMI_Site002","No","Strs",27,6,5.882352941,20,5.131979695
"KS_Clint_0458_Rep1","KS_Clint_0458_Rep1","KS_MMI_Site002","No","Strs",22,7,9.523809524,19,5.096666667
"KS_Clint_0459_Rep1","KS_Clint_0459_Rep1","KS_MMI_Site002","No","Strs",24,6,4.166666667,21,5.292056075
"KS_Clint_0460_Rep1","KS_Clint_0460_Rep1","KS_MMI_Site002","No","Strs",13,4,12.5,13,5.305454545
"KS_Clint_0461_Rep1","KS_Clint_0461_Rep1","KS_MMI_Site002","No","Strs",25,6,11.11111111,17,5.042682927
"KS_Clint_0462_Rep1","KS_Clint_0462_Rep1","KS_MMI_Site002","No","Strs",20,3,11.42857143,14,5.35
"KS_Clint_0463_Rep1","KS_Clint_0463_Rep1","KS_MMI_Site002","No","Strs",20,2,9.302325581,19,5.493670886
"KS_Clint_0464_Rep1","KS_Clint_0464_Rep1","KS_MMI_Site002","No","Strs",22,3,6.52173913,15,5.452012384
"KS_Clint_0465_Rep1","KS_Clint_0465_Rep1","KS_MMI_Site002","No","Strs",20,4,5.128205128,15,5.297619048
"KS_Clint_0466_Rep1","KS_Clint_0466_Rep1","KS_MMI_Site002","Strs","Strs",27,4,10.25641026,19,5.053435115
"KS_Clint_0467_Rep1","KS_Clint_0467_Rep1","KS_MMI_Site002","No","Strs",27,5,4.347826087,18,5.363636364
"KS_Clint_0455_Rep1","KS_Clint_0455_Rep1","KS_MMI_Site002","No","Strs",27,9,9.433962264,20,5.243801653
"KS_Clint_0446_Rep1","KS_Clint_0446_Rep1","KS_MMI_Site002","No","Strs",22,8,9.090909091,11,5.179856115
"KS_Clint_0447_Rep1","KS_Clint_0447_Rep1","KS_MMI_Site002","No","Strs",26,7,8.695652174,19,5.229461756
"KS_Clint_0444_Rep1","KS_Clint_0444_Rep1","KS_MMI_Site002","No","Strs",26,5,8.163265306,19,5.051282051
"KS_Clint_0445_Rep1","KS_Clint_0445_Rep1","KS_MMI_Site002","No","Strs",20,9,8.163265306,13,5.41
"KS_Clint_0457_Rep1","KS_Clint_0457_Rep1","KS_MMI_Site002","No","Strs",20,6,12.90322581,15,5.394160584
"KS_Clint_0438_Rep1","KS_Clint_0438_Rep1","KS_MMI_Site002","No","Strs",21,3,5,12,5.45
"KS_Clint_0448_Rep1","KS_Clint_0448_Rep1","KS_MMI_Site002","No","Strs",26,8,6.52173913,17,5.375
"KS_Clint_0449_Rep1","KS_Clint_0449_Rep1","KS_MMI_Site002","No","Strs",23,3,8.695652174,20,5.169565217
"KS_Clint_0452_Rep1","KS_Clint_0452_Rep1","KS_MMI_Site002","No","Strs",25,6,8.510638298,18,5.217573222
"KS_Clint_0529_Rep1","KS_Clint_0529_Rep1","KS_MMI_Site003","No","Ref",13,4,7.407407407,8,5.715517241
"KS_Clint_0533_Rep1","KS_Clint_0533_Rep1","KS_MMI_Site003","No","Ref",14,4,3.448275862,7,5.454545455
"KS_Clint_0528_Rep1","KS_Clint_0528_Rep1","KS_MMI_Site003","No","Ref",15,3,3.125,7,5.591397849
"KS_Liz_3105_Rep1","KS_Liz_3105_Rep1","KS_MMI_Site003","No","Ref",13,6,9.090909091,4,5.837606838
"KS_Clint_0530_Rep1","KS_Clint_0530_Rep1","KS_MMI_Site003","No","Ref",11,2,3.571428571,3,5.940298507
"KS_Liz_3104_Rep1","KS_Liz_3104_Rep1","KS_MMI_Site003","No","Ref",14,5,2.941176471,7,5.561253561
"KS_Clint_0532_Rep1","KS_Clint_0532_Rep1","KS_MMI_Site003","No","Ref",18,3,2.941176471,6,5.521008403
"KS_Liz_3106_Rep1","KS_Liz_3106_Rep1","KS_MMI_Site003","No","Ref",14,3,3.225806452,5,5.704
"KS_Clint_0535_Rep1","KS_Clint_0535_Rep1","KS_MMI_Site003","No","Ref",11,4,4,5,5.860465116
"KS_Clint_0531_Rep1","KS_Clint_0531_Rep1","KS_MMI_Site003","No","Ref",11,4,6.666666667,5,5.892857143
"KS_Liz_3107_Rep2","KS_Liz_3107_Rep2","KS_MMI_Site003","No","Ref",10,5,0,3,5.910299003
"KS_Liz_3108_Rep1","KS_Liz_3108_Rep1","KS_MMI_Site003","Ref","Ref",18,5,5.555555556,5,5.676616915
"KS_Liz_3107_Rep1","KS_Liz_3107_Rep1","KS_MMI_Site003","No","Ref",8,3,5.263157895,3,5.9375
"KS_Clint_0534_Rep1","KS_Clint_0534_Rep1","KS_MMI_Site003","No","Ref",12,2,0,6,5.361445783
"KS_Liz_3515_Rep1","KS_Liz_3515_Rep1","KS_MMI_Site004","Strs","HighStrs",11,3,0,1,5.467181467
"KS_Liz_3515_Rep2","KS_Liz_3515_Rep2","KS_MMI_Site004","No","HighStrs",7,4,3.448275862,0,5.400749064
"KS_Liz_3568_Rep1","KS_Liz_3568_Rep1","KS_MMI_Site005","Ref","Ref",30,7,10,11,5.048543689
"KS_Liz_3221_Rep1","KS_Liz_3221_Rep1","KS_MMI_Site006","Strs","Strs",14,6,0,8,5.28
