TaxaID,Rank,Slash,NonTarget,BCG_sens,Habit_CBCN,Order_EPT,Volt_semi,TolVal,BCG_Attr,BCG_Attr2,FFG,FFG_Src,HABIT,HABIT_Src,LIFE_CYCLE,LIFE_CYCLE_Src,THERMAL_INDICATOR,AirBreather,PHYLUM,CLASS,ORDER,FAMILY,GENUS,KBGENSPE,NOD,AP,HM,POC,SA,SSS,Min_HM1988,Max_HM1988,Mean_HM1988,KBTOLR
AGAPETUS,Genus,,FALSE,yes,yes,yes,,1,2,,SC,MODNR; OK; MN; Tward,"SW,CN",NRSA; Tward,uni,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,TRICHOPTERA,GLOSSOSOMATIDAE,AGAPETUS,AGAPETUS,1,2,0,2,1,3,0,3,1.5,4
MICROCYLLOEPUS,Genus,,FALSE,yes,yes,,yes,2,3,,CG,NE; OK; MN; Tward; NRSA,CN,NE; OK; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,MICROCYLLOEPUS,MICROCYLLOEPUS,1,3,1,2,2,2,1,3,1.833333333,4
HELICHUS FASTIGIATUS,Species,,FALSE,yes,yes,,yes,2,3,,"SC,SH,CG",IA; MODNR; NRSA; Tward,CN,MN; Tward; NRSA,semi,Tward,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,DRYOPIDAE,HELICHUS,HELICHUS FASTIGIATUS,2,4,3,3,3,4,2,4,3.166666667,4
MICROCYLLOEPUS PUSILLUS,Species,,FALSE,yes,yes,,yes,2,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,CN,NE; MN; Tward; NRSA,semi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,ELMIDAE,MICROCYLLOEPUS,MICROCYLLOEPUS PUSILLUS,1,3,1,2,2,2,1,3,1.833333333,4
LUTROCHUS,Genus,,FALSE,yes,,,yes,2,3,,SH,MODNR; Tward,SP,OK; MN; NRSA,semi,Tward,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,LUTROCHIDAE,LUTROCHUS,LUTROCHUS,1,3,1,3,2,2,1,3,2,99
LUTROCHUS LATICEPS,Species,,FALSE,yes,,,yes,2,3,,SH,MODNR; Tward - based on Lutrochus,SP,NRSA,semi,Tward,,FALSE,ARTHROPODA,INSECTA,COLEOPTERA,LUTROCHIDAE,LUTROCHUS,LUTROCHUS LATICEPS,1,3,1,3,2,2,1,3,2,99
STEMPELLINELLA,Genus,,FALSE,yes,yes,,,2,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,CB,NE; OK; MN; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,STEMPELLINELLA,STEMPELLINELLA,3,3,1,3,3,4,1,4,2.833333333,6
MICROTENDIPES,Genus,,FALSE,yes,yes,,,2,3,,CF,MODNR; MN; Tward; NRSA,CN,OK; MN; Tward; NRSA,multi,Tward,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,MICROTENDIPES,MICROTENDIPES,3,3,1,3,3,3,1,3,2.666666667,6
DIAMESA,Genus,,FALSE,yes,,,,2,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,DIAMESA,DIAMESA,2,2,1,2,1,3,1,3,1.833333333,6
PARAMETRIOCNEMUS,Genus,,FALSE,yes,,,,2,3,,CG,NE; MODNR; OK; MN; Tward; NRSA,SP,NE; MODNR; OK; MN; Tward; NRSA,multi,Tward; NRSA,,FALSE,ARTHROPODA,INSECTA,DIPTERA,CHIRONOMIDAE,PARAMETRIOCNEMUS,PARAMETRIOCNEMUS,3,2,1,2,3,3,1,3,2.333333333,6
