TaxaID_orig,KS_TAXACODE,Rank_orig,NonTarget,OTU_MMI,OTU_MMI_genus,OTU_BCG,PHYLUM,CLASS,ORDER,FAMILY,GENUS,NumSamp_All,NumSites_All,Yr_Min,Yr_Max,NumSamp_SB,NumSamp_SP
HIRUDINEA,0487,Class,FALSE,HIRUDINEA,HIRUDINEA,HIRUDINEA,ANNELIDA,HIRUDINEA,,,,25,23,1980,2018,19,6
ERPOBDELLIDAE,0276,Family,FALSE,ERPOBDELLIDAE,ERPOBDELLIDAE,ERPOBDELLIDAE,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLID,ERPOBDELLIDAE,,796,325,1980,2019,554,242
ERPOBDELLA,0427,Genus,FALSE,ERPOBDELLA,ERPOBDELLIDAE,ERPOBDELLA,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLID,ERPOBDELLIDAE,ERPOBDELLA,164,83,2008,2019,132,32
ERPOBDELLA PUNCTATA,0402,Species,FALSE,ERPOBDELLA PUNCTATA,ERPOBDELLIDAE,ERPOBDELLA PUNCTATA,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLID,ERPOBDELLIDAE,ERPOBDELLA,15,4,2011,2018,15,
MOOREOBDELLA,0092,Genus,FALSE,MOOREOBDELLA,ERPOBDELLIDAE,MOOREOBDELLA,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLID,ERPOBDELLIDAE,MOOREOBDELLA,2,2,1983,1983,2,
HAEMOPIS,0912,Genus,FALSE,HAEMOPIS,HAEMOPIDAE,HAEMOPIS,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLID,HAEMOPIDAE,HAEMOPIS,3,3,1992,2016,3,
MACROBDELLA DECORA,0350,Species,FALSE,MACROBDELLA DECORA,HIRUDINIDAE,MACROBDELLA DECORA,ANNELIDA,HIRUDINEA,ARHYNCHOBDELLID,HIRUDINIDAE,MACROBDELLA,1,1,2009,2009,,1
GLOSSIPHONIIDAE,0275,Family,FALSE,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,GLOSSIPHONIIDAE,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,,532,330,1980,2020,290,242
HELOBDELLA,0934,Genus,FALSE,HELOBDELLA,GLOSSIPHONIIDAE,HELOBDELLA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HELOBDELLA,4,4,1983,2016,1,3
HELOBDELLA FUSCA,0933,Species,FALSE,HELOBDELLA FUSCA,GLOSSIPHONIIDAE,HELOBDELLA FUSCA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,HELOBDELLA,1,1,2014,2014,1,
PLACOBDELLA,0466,Genus,FALSE,PLACOBDELLA,GLOSSIPHONIIDAE,PLACOBDELLA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,PLACOBDELLA,98,74,2007,2020,66,32
PLACOBDELLA PARASITICA,0465,Species,FALSE,PLACOBDELLA PARASITICA,GLOSSIPHONIIDAE,PLACOBDELLA PARASITICA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,GLOSSIPHONIIDAE,PLACOBDELLA,7,7,1995,2011,1,6
PISCICOLIDAE,1563,Family,FALSE,PISCICOLIDAE,PISCICOLIDAE,PISCICOLIDAE,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,PISCICOLIDAE,,1,1,1991,1991,1,
CALLIOBDELLA VIVIDA,1470,Species,FALSE,CALLIOBDELLA VIVIDA,PISCICOLIDAE,CALLIOBDELLA VIVIDA,ANNELIDA,HIRUDINEA,RHYNCHOBDELLIDA,PISCICOLIDAE,CALLIOBDELLA,1,1,1990,1990,1,
OLIGOCHAETA,0278,Class,FALSE,OLIGOCHAETA,OLIGOCHAETA,OLIGOCHAETA,ANNELIDA,OLIGOCHAETA,,,,1444,321,1980,2020,1252,192
BRANCHIOBDELLIDAE,0450,Family,TRUE,DNI,DNI,DNI,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,49,46,2006,2020,8,41
CAMBARINCOLA,1473,Genus,FALSE,CAMBARINCOLA,OLIGOCHAETA,CAMBARINCOLA,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,CAMBARINCOLA,98,64,1984,2019,68,30
