Date,TypeOfChange,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MMI_genus,PHYLUM,CLASS,ORDER,FAMILY,GENUS,
20231024,addition,FOSSARIA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,FOSSARIA,
20231024,addition,FOSSARIA BULIMOIDES,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,FOSSARIA,
20231024,addition,LYMNAEA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,LYMNAEA,
20231024,addition,PSEUDOSUCCINEA COLUMELLA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,PSEUDOSUCCINEA,
20231024,addition,STAGNICOLA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,STAGNICOLA,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDAE,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,ARACHNIDA,ARACHNIDA,ARTHROPODA,ARACHNIDA,,,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,STAPHYLINIDAE,STAPHYLINIDAE,ARTHROPODA,INSECTA,COLEOPTERA,STAPHYLINIDAE,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,COLLEMBOLA,COLLEMBOLA,ARTHROPODA,INSECTA,COLLEMBOLA,,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,ISOTOMURUS,ISOTOMURUS,ARTHROPODA,INSECTA,COLLEMBOLA,ISOTOMIDAE,ISOTOMURUS,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,ARGULUS,ARGULUS,ARTHROPODA,MAXILLOPODA,ARGULOIDA,ARGULIDAE,ARGULUS,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,METACOPINA,METACOPINA,ARTHROPODA,OSTRACODA,METACOPINA,,METACOPINA,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,NEMATA,NEMATA,NEMATA,,,,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,GORDIIDAE,GORDIIDAE,NEMATOMORPHA,GORDIODEA,GORDIIDA,GORDIIDAE,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,GORDIUS,GORDIUS,NEMATOMORPHA,GORDIODEA,GORDIIDA,GORDIIDAE,GORDIUS,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,SPONGILLIDAE,SPONGILLIDAE,PORIFERA,DESMOSPONGIA,HAPLOSCLERIDA,SPONGILLIDAE,,
