Date,TypeOfChange,Taxon_orig,NonTarget,Changed,Rationale,OTU_MTTI,OTU_MMI_genus,PHYLUM,CLASS,ORDER,FAMILY,GENUS
20231024,addition,FOSSARIA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,FOSSARIA
20231024,addition,FOSSARIA BULIMOIDES,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,FOSSARIA
20231024,addition,LYMNAEA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,LYMNAEA
20231024,addition,PSEUDOSUCCINEA COLUMELLA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,PSEUDOSUCCINEA
20231024,addition,STAGNICOLA,FALSE,yes,taxonony was problematic,LYMNAEIDAE,LYMNAEIDAE,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,LYMNAEIDAE,STAGNICOLA
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,BRANCHIOBDELLIDAE,BRANCHIOBDELLIDAE,ANNELIDA,OLIGOCHAETA,BRANCHIOBDELLID,BRANCHIOBDELLIDAE,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,ARACHNIDA,ARACHNIDA,ARTHROPODA,ARACHNIDA,,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,STAPHYLINIDAE,STAPHYLINIDAE,ARTHROPODA,INSECTA,COLEOPTERA,STAPHYLINIDAE,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,COLLEMBOLA,COLLEMBOLA,ARTHROPODA,INSECTA,COLLEMBOLA,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,ISOTOMURUS,ISOTOMURUS,ARTHROPODA,INSECTA,COLLEMBOLA,ISOTOMIDAE,ISOTOMURUS
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,ARGULUS,ARGULUS,ARTHROPODA,MAXILLOPODA,ARGULOIDA,ARGULIDAE,ARGULUS
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,METACOPINA,METACOPINA,ARTHROPODA,OSTRACODA,METACOPINA,,METACOPINA
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,NEMATA,NEMATA,NEMATA,,,,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,GORDIIDAE,GORDIIDAE,NEMATOMORPHA,GORDIODEA,GORDIIDA,GORDIIDAE,
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,GORDIUS,GORDIUS,NEMATOMORPHA,GORDIODEA,GORDIIDA,GORDIIDAE,GORDIUS
20231024,change,DNI,TRUE,yes,had initially changed to DNI; now think it's better to leave as is,SPONGILLIDAE,SPONGILLIDAE,PORIFERA,DESMOSPONGIA,HAPLOSCLERIDA,SPONGILLIDAE,
20250116,addition,DESMOPACHRIA CONVEXA,FALSE,,added per request by Sasha Bornstein (1/15/2025),DESMOPACHRIA CONVEXA,DESMOPACHRIA CONVEXA,ARTHROPODA,INSECTA,COLEOPTERA,DYTISCIDAE,DESMOPACHRIA
,,LEPTODEA FRAGILIS,TRUE,,added per request by Sasha Bornstein (1/15/2025),LEPTODEA FRAGILIS,LEPTODEA FRAGILIS,MOLLUSCA,BIVALVIA,UNIONIDA ,UNIONIDAE,LEPTODEA
,,LIGUMIA SUBROSTRATA,TRUE,,added per request by Sasha Bornstein (1/15/2025),LIGUMIA SUBROSTRATA,LIGUMIA SUBROSTRATA,MOLLUSCA,BIVALVIA,UNIONIDA ,UNIONIDAE,LIGUMIA
,,PLANORBULA,FALSE,,added per request by Sasha Bornstein (1/15/2025),PLANORBULA,PLANORBULA,MOLLUSCA,GASTROPODA,BASOMMATOPHORA,PLANORBIDAE,PLANORBULA
,,TOXOLASMA PARVUS,TRUE,,added per request by Sasha Bornstein (1/15/2025),TOXOLASMA PARVUS,TOXOLASMA PARVUS,MOLLUSCA,BIVALVIA,UNIONIDA ,UNIONIDAE,TOXOLASMA
,,UNIOMERUS TETRALASMUS,TRUE,,added per request by Sasha Bornstein (1/15/2025),UNIOMERUS TETRALASMUS,UNIOMERUS TETRALASMUS,MOLLUSCA,BIVALVIA,UNIONIDA ,UNIONIDAE,UNIOMERUS
,,UNIONIDAE,TRUE,,added per request by Sasha Bornstein (1/15/2025),UNIONIDAE,UNIONIDAE,MOLLUSCA,BIVALVIA,UNIONIDA ,UNIONIDAE,
,,,,,,,,,,,,
,,,,,,,,,,,,
