"LONG"	"LAT"	"STATIONID"	"SAMPLEID"	"COLLDATE"	"TAXAID"	"N_TAXA"	"NONTARGET"	"TolVal"	"BCG_Attr"	"BCG_Attr2"	"FFG"	"HABIT"	"LIFE_CYCLE"	"AIRBREATHER"	"PHYLUM"	"CLASS"	"ORDER"	"FAMILY"	"GENUS"	"CFS"	"L3Eco"	"WsAreaSqKm"	"ElevCat"	"PrecipCat"	"PrecipWs"	"TmeanCat"	"WetIndexWs"	"WtDepWs"	"PermWs"	"SandWs"	"ClayWs"	"Fe2O3Cat"	"MgOCat"	"K2OWs"	"Al2O3Ws"	"NWs"	"SWs"
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"BEROSUS"	8	FALSE	5	"4"	"4_middle"	"PH,CG"	"SW"	"multi"	TRUE	"ARTHROPODA"	"INSECTA"	"COLEOPTERA"	"HYDROPHILIDAE"	"BEROSUS"	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"CENTROPTILUM"	18	FALSE	5	"4"	"4_middle"	"CG"	"SW"	"multi"	FALSE	"ARTHROPODA"	"INSECTA"	"EPHEMEROPTERA"	"BAETIDAE"	"ANAFROPTILUM/NEOCLOEON"	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"CORIXIDAE"	2	FALSE	5	"4"	"4_middle"	"PR"	"SW"	"multi"	TRUE	"ARTHROPODA"	"INSECTA"	"HEMIPTERA"	"CORIXIDAE"	""	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"DICROTENDIPES NEOMODESTUS"	1	FALSE	6	"4"	"4_worse"	"CG"	"BU"	"multi"	FALSE	"ARTHROPODA"	"INSECTA"	"DIPTERA"	"CHIRONOMIDAE"	"DICROTENDIPES"	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"DYTISCIDAE"	28	FALSE	5	"4"	"4_middle"	"PR"	"SW"	"uni"	TRUE	"ARTHROPODA"	"INSECTA"	"COLEOPTERA"	"DYTISCIDAE"	""	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"ENOCHRUS"	1	FALSE	6	"4"	"4_worse"	"CG"	"BU,SW"	"uni"	TRUE	"ARTHROPODA"	"INSECTA"	"COLEOPTERA"	"HYDROPHILIDAE"	"ENOCHRUS"	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"ERPOBDELLIDAE"	7	FALSE	7	"4"	"4_worse"	"PR"	"SP"	"uni"	FALSE	"ANNELIDA"	"HIRUDINEA"	"ARHYNCHOBDELLID"	"ERPOBDELLIDAE"	""	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"HEPTAGENIA"	2	FALSE	5	"4"	"4_middle"	"SC"	"CN"	"uni"	FALSE	"ARTHROPODA"	"INSECTA"	"EPHEMEROPTERA"	"HEPTAGENIIDAE"	"HEPTAGENIA"	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"HEPTAGENIA ELEGANTULA"	12	FALSE	7	"4"	"4_worse"	"SC"	"CN"	"uni"	FALSE	"ARTHROPODA"	"INSECTA"	"EPHEMEROPTERA"	"HEPTAGENIIDAE"	"HEPTAGENIA"	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
-101.7166838	39.88704738	"KS_MMI_Site684"	"KS_Liz_3624_Rep1"	"15-May-18"	"HEPTAGENIIDAE"	2	FALSE	5	"4"	"4_middle"	"SC"	"CN"	"uni"	FALSE	"ARTHROPODA"	"INSECTA"	"EPHEMEROPTERA"	"HEPTAGENIIDAE"	""	14.04	"eco3_25"	6248.2896	976.827	480.3040205	438.8899282	10.73335944	919.0895	180.5058	6.3749	26.9189	21.4856	9.3291	1.4411	1.7262	7.8169	0.0298	0.0493
