"SAMPLEID","LONG","CFS","WsAreaSqKm","ElevCat","PrecipCat","PrecipWs","TmeanCat","WetIndexWs","WtDepWs","PermWs","SandWs","ClayWs","Fe2O3Cat","MgOCat","K2OWs","Al2O3Ws","NWs","SWs","L3Eco","TAXAID","N_TAXA","file_taxatrans","file_attributes","Rank","Slash","NONTARGET","BCG_sens","Habit_CBCN","Order_EPT","Volt_semi","TolVal","BCG_Attr","BCG_Attr2","FFG","FFG_Src","HABIT","HABIT_Src","LIFE_CYCLE","LIFE_CYCLE_Src","THERMAL_INDICATOR","AIRBREATHER","PHYLUM","CLASS","ORDER","FAMILY","GENUS","KBGENSPE","NOD","AP","HM","POC","SA","SSS","Min_HM1988","Max_HM1988","Mean_HM1988","KBTOLR","EXCLUDE"
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","ANOPHELES",1,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Genus",NA,FALSE,NA,NA,NA,NA,5,"4","4_middle","CF","IA; NE; MODNR; OK; MN; Tward; NRSA","SW","NE; MODNR; OK; MN; Tward; NRSA","multi","Tward",NA,TRUE,"ARTHROPODA","INSECTA","DIPTERA","CULICIDAE","ANOPHELES","ANOPHELES",5,4,3,4,4,2,2,5,3.666666667,10,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","ARGIA",7,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Genus",NA,FALSE,NA,"yes",NA,NA,6,"4","4_worse","PR","IA; NE; MODNR; OK; MN; Tward; NRSA","CB,CN","NE; OK; MN; NRSA; Tward; MO","uni","Tward; NRSA",NA,FALSE,"ARTHROPODA","INSECTA","ODONATA","COENAGRIONIDAE","ARGIA","ARGIA",2,4,2,3,3,3,2,4,2.833333333,6,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","BAETIDAE",1,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Family",NA,FALSE,NA,NA,"yes",NA,5,"4","4_middle","CG","IA; NE; MODNR; OK; MN; ;","SW","MODNR; OK; MN","multi","NRSA",NA,FALSE,"ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE",NA,NA,2,0,2,0,3,3,0,3,1.666666667,NA,TRUE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","BELOSTOMA",19,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Genus",NA,FALSE,NA,"yes",NA,NA,7,"4","4_middle","PR","IA; NE; MODNR; OK; MN; Tward; NRSA","CB","OK; MN; Tward; NRSA","multi,uni","Tward",NA,TRUE,"ARTHROPODA","INSECTA","HEMIPTERA","BELOSTOMATIDAE","BELOSTOMA","BELOSTOMA",3,4,3,3,3,3,3,4,3.166666667,99,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","BEROSUS",6,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Genus",NA,FALSE,NA,NA,NA,NA,5,"4","4_middle","PH,CG","IA; MODNR; OK; NRSA; Tward; MN","SW","NE; MODNR; OK; MN; Tward; NRSA","multi","NRSA",NA,TRUE,"ARTHROPODA","INSECTA","COLEOPTERA","HYDROPHILIDAE","BEROSUS","BEROSUS",3,4,3,3,3,3,3,4,3.166666667,99,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","CAENIS",11,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Genus",NA,FALSE,NA,NA,"yes",NA,5,"4","4_middle","CG","IA; NE; MODNR; OK; MN; Tward; NRSA","SP","IA; NE; MODNR; OK; MN; Tward; NRSA","multi","Tward; NRSA",NA,FALSE,"ARTHROPODA","INSECTA","EPHEMEROPTERA","CAENIDAE","CAENIS","CAENIS",3,0,2,0,3,3,0,3,1.833333333,4,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","CALLIBAETIS",17,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Genus",NA,FALSE,NA,NA,"yes",NA,6,"4","4_worse","CG","IA; NE; MODNR; OK; MN; Tward; NRSA","SW","IA; NE; MODNR; OK; MN; Tward;","multi","Tward; NRSA",NA,FALSE,"ARTHROPODA","INSECTA","EPHEMEROPTERA","BAETIDAE","CALLIBAETIS","CALLIBAETIS",3,1,3,1,4,2,1,4,2.333333333,4,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","CHIMARRA OBSCURA",1,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Species",NA,FALSE,"yes","yes","yes",NA,2,"3",NA,"CF","IA; NE; OK; MN; Tward; NRSA","CN","NE; Tward; NRSA","uni","Tward; NRSA",NA,FALSE,"ARTHROPODA","INSECTA","TRICHOPTERA","PHILOPOTAMIDAE","CHIMARRA","CHIMARRA OBSCURA",2,2,1,1,2,4,1,4,2,4,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","CINCINNATIA INTEGRA",2,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Species",NA,FALSE,NA,NA,NA,NA,5,"4","4_middle","SC","OK",NA,NA,NA,NA,NA,FALSE,"MOLLUSCA","GASTROPODA","NEOTAENIOGLOSSA","HYDROBIIDAE","CINCINNATIA","CINCINNATIA INTEGRA",NA,NA,NA,NA,NA,NA,NA,NA,NA,4,FALSE
"KS_Liz_3608_Rep1",-96.26825452,69.45,646.6401,337.2065,909.2009417,919.095568,12.69715106,752.305,171.8542,1.2534,9.8059,41.3846,9.0184,1.6244,0.6664,3.5565,0.0652,0.3884,"eco3_28","CORBICULA FLUMINEA",1,"KS_TaxaTranslator_20230717.csv","KS_Attributes_20230717.csv","Species",NA,FALSE,NA,NA,NA,NA,5,"6m",NA,"CF","IA; NE; OK; MN; NRSA","BU","NE; MN; NRSA","multi","NRSA","warm",FALSE,"MOLLUSCA","BIVALVIA","VENEROIDA","CORBICULIDAE","CORBICULA","CORBICULA FLUMINEA",NA,NA,NA,NA,NA,NA,NA,NA,NA,99,FALSE
